n_rows,n_features,pca_components,n_neighbors,explained_variance,orig_knn_accuracy,orig_knn_precision,orig_knn_recall,orig_knn_f1_score,orig_knn_fit_time,orig_knn_predict_time,orig_knn_total_time,orig_kdtree_accuracy,orig_kdtree_precision,orig_kdtree_recall,orig_kdtree_f1_score,orig_kdtree_fit_time,orig_kdtree_predict_time,orig_kdtree_total_time,pca_knn_accuracy,pca_knn_precision,pca_knn_recall,pca_knn_f1_score,pca_knn_fit_time,pca_knn_predict_time,pca_knn_total_time,pca_kdtree_accuracy,pca_kdtree_precision,pca_kdtree_recall,pca_kdtree_f1_score,pca_kdtree_fit_time,pca_kdtree_predict_time,pca_kdtree_total_time,pca_knn_accuracy_diff,pca_kdtree_accuracy_diff,pca_knn_time_improvement,pca_kdtree_time_improvement
1000,54,25,5,0.73288120710671,0.63,0.6189328078078079,0.63,0.6171801407908485,0.003005027770996,0.0251674652099609,0.028172492980957,0.63,0.6189328078078079,0.63,0.6171801407908485,0.0060265064239501,0.0542130470275878,0.060239553451538,0.595,0.6103468468468468,0.595,0.580440097479571,0.0010089874267578,0.0231850147247314,0.0241940021514892,0.595,0.6103468468468468,0.595,0.580440097479571,0.0030024051666259,0.0525047779083251,0.0555071830749511,-0.035,-0.035,0.1412189837852476,0.0785591875343837
5000,5,3,5,0.8222559526443236,0.661,0.6451567005423393,0.661,0.6494045205788248,0.0020020008087158,0.1399540901184082,0.141956090927124,0.655,0.6418847247770496,0.655,0.644230023911939,0.0051519870758056,0.1562612056732177,0.1614131927490234,0.666,0.6520494280731836,0.666,0.6548585903753,0.0035114288330078,0.0991413593292236,0.1026527881622314,0.661,0.6465751127699946,0.661,0.649491671347593,0.0040047168731689,0.1568074226379394,0.1608121395111084,0.005,0.006,0.2768694355289743,0.0037236933839082
5000,10,3,5,0.4764015974521755,0.701,0.694309108814457,0.701,0.6955906213068547,0.0030021667480468,0.1399242877960205,0.1429264545440673,0.701,0.694309108814457,0.701,0.6955906213068547,0.007512092590332,0.1845431327819824,0.1920552253723144,0.709,0.7003296430298235,0.709,0.7019834340451321,0.0030024051666259,0.1631462574005127,0.1661486625671386,0.709,0.7003296430298235,0.709,0.7019834340451321,0.0035336017608642,0.1594867706298828,0.163020372390747,0.008,0.008,-0.1624766254585246,0.1511797084681293
5000,10,5,5,0.6826222314193143,0.701,0.694309108814457,0.701,0.6955906213068547,0.0015177726745605,0.1254067420959472,0.1269245147705078,0.701,0.694309108814457,0.701,0.6955906213068547,0.0055189132690429,0.1519680023193359,0.1574869155883789,0.702,0.6938168915634775,0.702,0.695811866577457,0.0035328865051269,0.1612272262573242,0.1647601127624511,0.702,0.6938168915634775,0.702,0.695811866577457,0.0039994716644287,0.1667511463165283,0.170750617980957,0.001,0.001,-0.2980952738748215,-0.0842209801558705
5000,20,3,5,0.3089390454888173,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0019996166229248,0.1144719123840332,0.116471529006958,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0120320320129394,0.1752960681915283,0.1873281002044677,0.7,0.6932014086246283,0.7,0.6905435758852038,0.0019972324371337,0.1346063613891601,0.1366035938262939,0.7,0.6932014086246283,0.7,0.6905435758852038,0.0040020942687988,0.1547615528106689,0.1587636470794677,-0.032,-0.032,-0.1728496654159425,0.1524835467493773
5000,20,5,5,0.4226706849212875,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0027797222137451,0.1382005214691162,0.1409802436828613,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0100209712982177,0.1737809181213379,0.1838018894195556,0.717,0.7085697837363332,0.717,0.7088152186445299,0.002000093460083,0.1642756462097168,0.1662757396697998,0.717,0.7085697837363332,0.717,0.7088152186445299,0.0039989948272705,0.1787853240966797,0.1827843189239502,-0.015,-0.015,-0.1794258211373314,0.0055362352303283
5000,20,10,5,0.6871999239129241,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0024266242980957,0.1244995594024658,0.1269261837005615,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0099351406097412,0.1660194396972656,0.1759545803070068,0.712,0.7062596568731372,0.712,0.7035811726007071,0.0072853565216064,0.1366443634033203,0.1439297199249267,0.712,0.7062596568731372,0.712,0.7035811726007071,0.0045139789581298,0.1566834449768066,0.1611974239349365,-0.02,-0.02,-0.1339639759789769,0.0838691231925984
5000,20,15,5,0.9078800141776228,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0019845962524414,0.1369321346282959,0.1389167308807373,0.732,0.7263020976568387,0.732,0.7224432785000843,0.0110552310943603,0.1691999435424804,0.1802551746368408,0.722,0.7155565176867176,0.722,0.712770499298341,0.008913516998291,0.1270906925201416,0.1360042095184326,0.722,0.7155565176867176,0.722,0.712770499298341,0.0065176486968994,0.1678192615509033,0.1743369102478027,-0.01,-0.01,0.0209659509249835,0.0328327017571705
5000,30,3,5,0.2437463233531095,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0030043125152587,0.0997130870819091,0.1027173995971679,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0135250091552734,0.1595160961151123,0.1730411052703857,0.639,0.6335665999540186,0.639,0.6326723429879717,0.0019981861114501,0.1523635387420654,0.1543617248535156,0.639,0.6335665999540186,0.639,0.6326723429879717,0.0035116672515869,0.1563613414764404,0.1598730087280273,-0.0739999999999999,-0.0739999999999999,-0.5027806920627257,0.0760980838730922
5000,30,5,5,0.3304181434767425,0.713,0.7042438376771696,0.713,0.7051455439287279,0.003497838973999,0.1464700698852539,0.1499679088592529,0.713,0.7042438376771696,0.713,0.7051455439287279,0.0145435333251953,0.1589918136596679,0.1735353469848632,0.656,0.6510997830980292,0.656,0.6472604438598639,0.0009968280792236,0.1409928798675537,0.1419897079467773,0.656,0.6510997830980292,0.656,0.6472604438598639,0.0040171146392822,0.1620213985443115,0.1660385131835937,-0.0569999999999999,-0.0569999999999999,0.0531993876100735,0.0432006155029813
