n_rows,n_features,n_neighbors,knn_accuracy,knn_precision,knn_recall,knn_f1_score,knn_fit_time,knn_predict_time,knn_total_time,kdtree_accuracy,kdtree_precision,kdtree_recall,kdtree_f1_score,kdtree_fit_time,kdtree_predict_time,kdtree_total_time,accuracy_difference,time_difference,kdtree_faster
1000,40,3,0.64,0.6328959627329193,0.64,0.6308745129345575,0.0020003318786621,0.0185763835906982,0.0205767154693603,0.64,0.6328959627329193,0.64,0.6308745129345575,0.0050110816955566,0.0392405986785888,0.0442516803741455,0.0,-0.0236749649047851,False
1000,40,5,0.65,0.6373908554572272,0.65,0.6358610733658127,0.0009951591491699,0.0195703506469726,0.0205655097961425,0.65,0.6373908554572272,0.65,0.6358610733658127,0.0039992332458496,0.0376873016357421,0.0416865348815918,0.0,-0.0211210250854492,False
1000,40,7,0.63,0.6142830882352941,0.63,0.617583660130719,0.0020031929016113,0.0215940475463867,0.023597240447998,0.63,0.6142830882352941,0.63,0.617583660130719,0.0065066814422607,0.0326485633850097,0.0391552448272705,0.0,-0.0155580043792724,False
1000,40,9,0.63,0.5975262821290859,0.63,0.6094119241192413,0.0020060539245605,0.0236754417419433,0.0256814956665039,0.63,0.5975262821290859,0.63,0.6094119241192413,0.0060000419616699,0.0354969501495361,0.041496992111206,0.0,-0.0158154964447021,False
1000,40,11,0.64,0.6172480506822612,0.64,0.6158756778378691,0.0020010471343994,0.019031286239624,0.0210323333740234,0.64,0.6172480506822612,0.64,0.6158756778378691,0.0053422451019287,0.0367019176483154,0.0420441627502441,0.0,-0.0210118293762207,False
1000,40,15,0.62,0.6020714285714286,0.62,0.5980963295374123,0.0009999275207519,0.0210578441619873,0.0220577716827392,0.62,0.6020714285714286,0.62,0.5980963295374123,0.0055146217346191,0.0372281074523925,0.0427427291870117,0.0,-0.0206849575042724,False
1000,54,3,0.635,0.6278527428670584,0.635,0.6255554127599156,0.0035164356231689,0.0210211277008056,0.0245375633239746,0.635,0.6278527428670584,0.635,0.6255554127599156,0.0050067901611328,0.0385212898254394,0.0435280799865722,0.0,-0.0189905166625976,False
1000,54,5,0.63,0.6189328078078079,0.63,0.6171801407908485,0.0020029544830322,0.0199894905090332,0.0219924449920654,0.63,0.6189328078078079,0.63,0.6171801407908485,0.0060036182403564,0.0336546897888183,0.0396583080291748,0.0,-0.0176658630371093,False
1000,54,7,0.62,0.6061048780487805,0.62,0.6083294232649072,0.0019991397857666,0.0199925899505615,0.0219917297363281,0.62,0.6061048780487805,0.62,0.6083294232649072,0.0050928592681884,0.0953428745269775,0.100435733795166,0.0,-0.0784440040588378,False
1000,54,9,0.61,0.5804122064558958,0.61,0.5908805108655856,0.002514362335205,0.028620958328247,0.0311353206634521,0.61,0.5804122064558958,0.61,0.5908805108655856,0.00651216506958,0.0396604537963867,0.0461726188659668,0.0,-0.0150372982025146,False
1000,54,11,0.645,0.6228185654008438,0.645,0.6212936075821739,0.0029990673065185,0.0269792079925537,0.0299782752990722,0.645,0.6228185654008438,0.645,0.6212936075821739,0.0075249671936035,0.0454664230346679,0.0529913902282714,0.0,-0.0230131149291992,False
1000,54,15,0.62,0.6029651162790697,0.62,0.5981629979035639,0.0041670799255371,0.0298550128936767,0.0340220928192138,0.62,0.6029651162790697,0.62,0.5981629979035639,0.0085265636444091,0.0399501323699951,0.0484766960144043,0.0,-0.0144546031951904,False
5000,5,3,0.623,0.6099394957664932,0.623,0.6143349524394677,0.0025219917297363,0.1184511184692382,0.1209731101989746,0.615,0.6052710568684952,0.615,0.60743998222416,0.00551438331604,0.0959711074829101,0.1014854907989502,-0.008,0.0194876194000244,True
5000,5,5,0.661,0.6451567005423393,0.661,0.6494045205788248,0.0022459030151367,0.0975034236907959,0.0997493267059326,0.655,0.6418847247770496,0.655,0.644230023911939,0.0065302848815917,0.0793161392211914,0.0858464241027832,-0.006,0.0139029026031494,True
5000,5,7,0.664,0.642587594658805,0.664,0.6507059752639115,0.0019969940185546,0.0788660049438476,0.0808629989624023,0.653,0.6327140149517527,0.653,0.6405956891578881,0.0069983005523681,0.0844404697418212,0.0914387702941894,-0.011,-0.0105757713317871,False
5000,5,9,0.679,0.6608505113985893,0.679,0.665734793234777,0.0010013580322265,0.074786901473999,0.0757882595062255,0.673,0.65396123659776,0.673,0.6591816879609653,0.0054640769958496,0.0766379833221435,0.0821020603179931,-0.006,-0.0063138008117675,False
5000,5,11,0.692,0.6763020648933366,0.692,0.6767289348160178,0.0010073184967041,0.0752186775207519,0.076225996017456,0.685,0.670821676893731,0.685,0.6695144359051363,0.0064907073974609,0.0751287937164306,0.0816195011138916,-0.0069999999999998,-0.0053935050964355,False
5000,5,15,0.687,0.6635818834819983,0.687,0.6702346855897807,0.0020058155059814,0.081681489944458,0.0836873054504394,0.682,0.6587124380553031,0.682,0.6653354496700887,0.0049998760223388,0.0818593502044677,0.0868592262268066,-0.005,-0.0031719207763671,False
5000,10,3,0.692,0.6865384966018567,0.692,0.688241388357704,0.0020029544830322,0.0753471851348877,0.0773501396179199,0.692,0.6865384966018567,0.692,0.688241388357704,0.0115172863006591,0.1049189567565918,0.1164362430572509,0.0,-0.039086103439331,False
5000,10,5,0.701,0.694309108814457,0.701,0.6955906213068547,0.0020065307617187,0.0716559886932373,0.073662519454956,0.701,0.694309108814457,0.701,0.6955906213068547,0.0105175971984863,0.1046464443206787,0.115164041519165,0.0,-0.0415015220642089,False
